['n', 't', 'd']
[0, 0, 2.2]
[1, 1e-05, 2.2]
[2, 2e-05, 2.199999999019]
[3, 3.0000000000000004e-05, 2.199999997057]
[4, 4e-05, 2.199999994114]
[5, 5e-05, 2.1999999901900003]
[6, 6e-05, 2.1999999852850003]
[7, 7.000000000000001e-05, 2.199999979399]
[8, 8e-05, 2.1999999725320003]
[9, 9e-05, 2.1999999646840003]
[10, 0.0001, 2.199999955855]
[11, 0.00011, 2.199999946045]
[12, 0.00012, 2.199999935254]
[13, 0.00013000000000000002, 2.1999999234820002]
[14, 0.00014000000000000001, 2.1999999107290003]
[15, 0.00015000000000000001, 2.199999896995]
[16, 0.00016, 2.19999988228]
[17, 0.00017, 2.199999866584]
[18, 0.00018, 2.1999998499070004]
[19, 0.00019, 2.1999998322490004]
[20, 0.0002, 2.1999998136100003]
[21, 0.00021, 2.1999997939900005]
[22, 0.00022, 2.1999997733890004]
[23, 0.00023, 2.1999997518070002]
[24, 0.00024, 2.1999997292440003]
[25, 0.00025, 2.1999997057000003]
[26, 0.00026000000000000003, 2.1999996811750004]
[27, 0.00027000000000000006, 2.1999996556690005]
[28, 0.0002800000000000001, 2.1999996291820003]
[29, 0.0002900000000000001, 2.1999996017140004]
[30, 0.00030000000000000014, 2.1999995732650004]
[31, 0.00031000000000000016, 2.199999543835]
[32, 0.0003200000000000002, 2.1999995134240002]
[33, 0.0003300000000000002, 2.199999482032]
[34, 0.00034000000000000024, 2.1999994496590003]
[35, 0.00035000000000000027, 2.1999994163050003]
[36, 0.0003600000000000003, 2.19999938197]
[37, 0.0003700000000000003, 2.199999346654]
[38, 0.00038000000000000035, 2.199999310357]
[39, 0.00039000000000000037, 2.1999992730790003]
[40, 0.0004000000000000004, 2.1999992348200004]
[41, 0.0004100000000000004, 2.1999991955800002]
[42, 0.00042000000000000045, 2.1999991553590004]
[43, 0.0004300000000000005, 2.1999991141570003]
[44, 0.0004400000000000005, 2.199999071974]
[45, 0.00045000000000000053, 2.19999902881]
[46, 0.00046000000000000056, 2.199998984665]
[47, 0.0004700000000000006, 2.1999989395390003]
[48, 0.0004800000000000006, 2.1999988934320003]
[49, 0.0004900000000000006, 2.199998846344]
[50, 0.0005000000000000007, 2.1999987982750002]
[51, 0.0005100000000000007, 2.199998749225]
[52, 0.0005200000000000007, 2.1999986991940004]
[53, 0.0005300000000000007, 2.1999986481820004]
[54, 0.0005400000000000008, 2.1999985961890003]
[55, 0.0005500000000000008, 2.1999985432150004]
[56, 0.0005600000000000008, 2.1999984892600004]
[57, 0.0005700000000000008, 2.199998434324]
[58, 0.0005800000000000009, 2.1999983784070003]
[59, 0.0005900000000000009, 2.199998321509]
[60, 0.0006000000000000009, 2.1999982636300004]
[61, 0.000610000000000001, 2.1999982047700004]
[62, 0.000620000000000001, 2.1999981449290003]
[63, 0.000630000000000001, 2.1999980841070004]
[64, 0.000640000000000001, 2.1999980223040003]
[65, 0.0006500000000000011, 2.19999795952]
[66, 0.0006600000000000011, 2.199997895755]
[67, 0.0006700000000000011, 2.199997831009]
[68, 0.0006800000000000011, 2.199997765282]
[69, 0.0006900000000000012, 2.199997698574]
[70, 0.0007000000000000012, 2.199997630885]
[71, 0.0007100000000000012, 2.199997562215]
[72, 0.0007200000000000012, 2.199997492564]
[73, 0.0007300000000000013, 2.199997421932]
[74, 0.0007400000000000013, 2.1999973503190002]
[75, 0.0007500000000000013, 2.199997277725]
[76, 0.0007600000000000013, 2.19999720415]
[77, 0.0007700000000000014, 2.199997129594]
[78, 0.0007800000000000014, 2.199997054057]
[79, 0.0007900000000000014, 2.199996977539]
[80, 0.0008000000000000014, 2.19999690004]
[81, 0.0008100000000000015, 2.19999682156]
[82, 0.0008200000000000015, 2.199996742099]
[83, 0.0008300000000000015, 2.199996661657]
[84, 0.0008400000000000016, 2.199996580234]
